,Periodo por días,Precio Real Max,Precio Estimado Max
0,2018-07-03,0.2352,0.2359
1,2018-07-04,0.2352,0.2349
2,2018-07-05,0.2345,0.2344
3,2018-07-06,0.235,0.2342
4,2018-07-07,0.2345,0.2341
