,Periodo por días,Precio Real Max,Precio Estimado Max
0,2018-03-18,0.227,0.2276
1,2018-03-19,0.2262,0.2276
2,2018-03-20,0.2268,0.2276
3,2018-03-21,0.2265,0.2276
4,2018-03-22,0.2275,0.2276
5,2018-03-23,0.2288,0.2276
6,2018-03-24,0.2295,0.2276
