,Periodo por meses,Precio Real Max,Precio Estimado Max
0,Febrero,0.4027,0.4027
1,Marzo,0.449,0.4027
2,Abril,0.3357,0.433
3,Mayo,0.3342,0.3692
4,Junio,0.3297,0.3463
5,Julio,0.3196,0.3354
0,Agosto,0.3196,0.325
1,Septiembre,0.3196,0.3215
