,Periodo por semanas,Precio Real Max
0,Semana 1,0.2171
1,Semana 2,0.1705
2,Semana 3,0.0915
3,Semana 4,0.0803
4,Semana 5,0.0791
5,Semana 6,0.0784
6,Semana 7,0.0769
7,Semana 8,0.0787
8,Semana 9,0.0876
9,Semana 10,0.0885
10,Semana 11,0.0899
