0;;;;;;;
1;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;Periodo (Meses);Precio Sistema;Precio Estimado
;;;;;Agosto;0,3196;0,325
;;;;;Septiembre;0,3196;0,3215
